"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "HTML", "PostCSS", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ListDetailsComp\CommentDrawer\index.jsx", "JavaScript JSX", 0, 0, 221, 0, 0, 0, 0, 0, 23, 244
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ListDetailsComp\List\BlogMoreBtn\index.jsx", "JavaScript JSX", 0, 0, 168, 0, 0, 0, 0, 0, 22, 190
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ListDetailsComp\List\index.jsx", "JavaScript JSX", 0, 0, 264, 0, 0, 0, 0, 3, 18, 285
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ListDetailsComp\MoreButton\index.jsx", "JavaScript JSX", 0, 0, 311, 0, 0, 0, 0, 4, 37, 352
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ListDetailsComp\NoData\index.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ListDetailsComp\SaveListButton\index.jsx", "JavaScript JSX", 0, 0, 72, 0, 0, 0, 0, 0, 12, 84
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Me\DefaultComp\index.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\NewPublication\Header\index.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\NewPublication\Inputs\Description\index.jsx", "JavaScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 7, 32
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\NewPublication\Inputs\Editor\index.jsx", "JavaScript JSX", 0, 0, 90, 0, 0, 0, 0, 0, 13, 103
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\NewPublication\Inputs\Image\index.jsx", "JavaScript JSX", 0, 0, 81, 0, 0, 0, 0, 1, 12, 94
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\NewPublication\Inputs\Name\index.jsx", "JavaScript JSX", 0, 0, 38, 0, 0, 0, 0, 0, 8, 46
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\NewPublication\Inputs\Topic\index.jsx", "JavaScript JSX", 0, 0, 72, 0, 0, 0, 0, 0, 10, 82
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\NewPublication\Inputs\Writer\index.jsx", "JavaScript JSX", 0, 0, 86, 0, 0, 0, 0, 0, 10, 96
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Notification\NotificationSection\ListItem\Reasons\Clap\index.jsx", "JavaScript JSX", 0, 0, 33, 0, 0, 0, 0, 3, 4, 40
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Notification\NotificationSection\ListItem\Reasons\Follow\index.jsx", "JavaScript JSX", 0, 0, 27, 0, 0, 0, 0, 3, 5, 35
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Notification\NotificationSection\ListItem\Reasons\Responded\index.jsx", "JavaScript JSX", 0, 0, 33, 0, 0, 0, 0, 3, 5, 41
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Notification\NotificationSection\ListItem\index.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\Notification\NotificationSection\index.jsx", "JavaScript JSX", 0, 0, 115, 0, 0, 0, 0, 3, 14, 132
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\PostDetailsPageComponents\About\Author\index.jsx", "JavaScript JSX", 0, 0, 105, 0, 0, 0, 0, 0, 6, 111
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\PostDetailsPageComponents\About\Publication\index.jsx", "JavaScript JSX", 0, 0, 102, 0, 0, 0, 0, 0, 6, 108
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\PostDetailsPageComponents\Blog Comp\ActionBtn\index.jsx", "JavaScript JSX", 0, 0, 52, 0, 0, 0, 0, 0, 5, 57
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\PostDetailsPageComponents\Blog Comp\index.jsx", "JavaScript JSX", 0, 0, 113, 0, 0, 0, 0, 0, 5, 118
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\PostDetailsPageComponents\Blog Recommendation\index.jsx", "JavaScript JSX", 0, 0, 118, 0, 0, 0, 0, 5, 12, 135
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\PostDetailsPageComponents\ClapAction\index.jsx", "JavaScript JSX", 0, 0, 171, 0, 0, 0, 0, 1, 16, 188
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\PostDetailsPageComponents\ClappedUserListModal\ListItem\index.jsx", "JavaScript JSX", 0, 0, 81, 0, 0, 0, 0, 0, 7, 88
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\PostDetailsPageComponents\ClappedUserListModal\index.jsx", "JavaScript JSX", 0, 0, 129, 0, 0, 0, 0, 5, 16, 150
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\PostDetailsPageComponents\CommentAction\index.jsx", "JavaScript JSX", 0, 0, 57, 0, 0, 0, 0, 0, 7, 64
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\PostDetailsPageComponents\CommentDrawer\ListItem\index.jsx", "JavaScript JSX", 0, 0, 221, 0, 0, 0, 0, 0, 15, 236
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\PostDetailsPageComponents\CommentDrawer\ListItem\skeleton.jsx", "JavaScript JSX", 0, 0, 45, 0, 0, 0, 0, 0, 3, 48
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\PostDetailsPageComponents\CommentDrawer\index.jsx", "JavaScript JSX", 0, 0, 230, 0, 0, 0, 0, 3, 23, 256
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\PostDetailsPageComponents\Comments comp\ListItem\index.jsx", "JavaScript JSX", 0, 0, 219, 0, 0, 0, 0, 0, 16, 235
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\PostDetailsPageComponents\Comments comp\index.jsx", "JavaScript JSX", 0, 0, 192, 0, 0, 0, 0, 1, 19, 212
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\PostDetailsPageComponents\FollowBtn\index.jsx", "JavaScript JSX", 0, 0, 54, 0, 0, 0, 0, 0, 6, 60
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\PostDetailsPageComponents\MoreOptionsComp\index.jsx", "JavaScript JSX", 0, 0, 82, 0, 0, 0, 0, 0, 7, 89
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\PostDetailsPageComponents\PublicationLeftSection\index.jsx", "JavaScript JSX", 0, 0, 86, 0, 0, 0, 0, 0, 6, 92
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\PostDetailsPageComponents\ViewImage\index.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 0, 0, 1, 7, 30
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ProfileComp\FollowersSection\index.jsx", "JavaScript JSX", 0, 0, 88, 0, 0, 0, 0, 0, 9, 97
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ProfileComp\FollowingSection\index.jsx", "JavaScript JSX", 0, 0, 85, 0, 0, 0, 0, 0, 13, 98
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ProfileComp\HomeSection\BlogComp\MoreButtonComp\index.jsx", "JavaScript JSX", 0, 0, 56, 0, 0, 0, 0, 0, 5, 61
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ProfileComp\HomeSection\BlogComp\index.jsx", "JavaScript JSX", 0, 0, 150, 0, 0, 0, 0, 3, 6, 159
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ProfileComp\HomeSection\BlogComp\skeleton.jsx", "JavaScript JSX", 0, 0, 68, 0, 0, 0, 0, 2, 5, 75
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ProfileComp\ListSection\ListComp\MoreButton\index.jsx", "JavaScript JSX", 0, 0, 288, 0, 0, 0, 0, 4, 38, 330
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ProfileComp\ListSection\ListComp\Save\index.jsx", "JavaScript JSX", 0, 0, 73, 0, 0, 0, 0, 0, 10, 83
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ProfileComp\ListSection\ListComp\index.jsx", "JavaScript JSX", 0, 0, 81, 0, 0, 0, 0, 0, 6, 87
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ProfileComp\ListSection\ListComp\skeleton.jsx", "JavaScript JSX", 0, 0, 57, 0, 0, 0, 0, 0, 4, 61
"c:\Users\shubh\OneDrive\Desktop\Blog MERN Project\frontend\src\components\ProfileComp\ListSection\ListModals\delete.jsx", "JavaScript JSX", 0, 0, 58, 0, 0, 0, 0, 0, 6, 64
